Time,Settle,Surcharge
0,0,1.5
5,17.4,1.5
7,23.9,1.5
11,32.2,1.5
14,41.7,1.5
21,64.1,1.5
28,72.5,1.5
35,78.8,1.5
42,93.3,1.5
48,102.5,1.5
53,108,3.002
54,109.2,3.002
55,110.4,3.002
56,111.6,3.002
59,117.3,3.002
60,119.2,3.002
61,121.1,3.002
62,122.7,3.002
67,130.2,3.002
68,131.9,3.002
69,133.6,3.002
70,135.4,3.002
74,141.4,3.002
75,142.9,3.002
76,144.4,3.002
77,146.2,3.002
80,149.2,3.002
81,150.2,3.002
82,151.2,3.002
83,152.2,3.002
91,162.8,3.002
98,170,3.002
105,177,3.002
112,182.4,3.002
115,185,3.002
117,186.5,3.002
118,187.3,3.002
122,202.9,4.095
124,210.5,4.095
125,214.5,4.095
126,218.6,4.095
129,222.4,4.095
130,223.7,4.095
131,225,4.095
132,226.3,4.095
133,227.5,4.095
136,231.7,4.095
137,233.1,4.095
138,234.5,4.095
139,235.9,4.095
140,237.3,4.095
143,240.7,4.095
147,245.5,4.095
151,249.7,4.095
154,252.8,4.095
158,257.8,4.095
161,261.1,4.095
164,264.1,4.095
168,268,4.095
172,272.2,4.095
175,275.5,4.095
181,283.5,4.095
192,293.5,4.095
195,296.2,4.095
199,301.3,4.095
202,304.6,4.095
209,311.1,4.095
216,316,4.095
223,322.3,4.095
230,326.5,4.095
237,331.6,4.095
244,336.5,4.095
251,341.2,4.095
258,346.1,4.095
266,350.9,4.095
273,354,4.095
280,356,4.095
286,358,4.095
294,360.9,4.095
