Time,Surcharge,Settle
0,1.5,0
8,1.5,13.7
15,1.5,25.2
18,1.5,30
21,1.5,35.4
28,1.5,44.5
33,1.5,50.5
36,1.5,54.1
40,1.5,58.8
42,1.5,61.1
43,1.5,62.4
46,1.5,66.3
49,1.5,69.2
53,1.5,71.2
54,1.5,72.2
55,1.5,73.1
56,1.5,74
60,2.942,105.8
63,2.942,110.7
67,2.942,118
71,2.942,122.4
75,2.942,129.2
77,2.942,132.6
81,2.942,139.1
84,2.942,143.2
91,2.942,152.6
99,2.942,162.4
106,2.942,171.9
112,2.942,179.1
119,2.942,185.8
127,2.942,194.2
132,2.942,199.1
140,2.942,207.1
148,2.942,214.5
158,2.942,222.9
161,2.942,225.4
168,2.942,231.8
175,2.942,237.6
183,2.942,244
189,2.942,248.2
197,2.942,253.8
203,2.942,258.2
210,2.942,262.6
217,2.942,265.6
224,2.942,268.7
231,2.942,272.5
238,2.942,276.6
245,2.942,280.6
252,2.942,285.7
263,2.942,291
266,2.942,292.5
273,2.942,295.3
281,2.942,299.3
288,2.942,301.8
295,2.942,305.3
303,2.942,309.3
310,2.942,312.8
312,2.942,313.8
316,2.942,315.8
323,2.942,318.5
328,2.942,320.4
330,2.942,321.2
335,2.942,323.4
337,2.942,324.2
340,2.942,325.1
343,2.942,326
350,2.942,328.1
356,2.942,329.9
363,2.942,332.6
369,2.942,334.4
372,2.942,335.2
375,2.942,336
378,2.942,336.8
382,2.942,337.6
385,2.942,338.1
389,2.942,338.4
392,2.942,338.7
396,3.43,340.3
399,3.43,341.2
403,3.43,342.3
405,4.345,344
407,4.345,345.5
410,4.345,347.6
411,4.345,348.2
412,4.345,348.8
413,4.345,349.4
414,4.345,349.9
417,4.345,351.3
418,4.345,351.8
419,4.345,352.3
420,4.345,352.8
424,4.345,354.9
425,4.345,355.4
427,4.345,356.4
431,4.345,358.6
433,4.345,359.6
434,4.345,360.1
440,4.345,362.9
441,4.345,363.4
442,4.345,363.9
445,4.345,365.4
447,4.345,366.4
449,4.345,367.4
452,4.345,368.9
454,4.345,369.9
456,4.345,371.4
463,4.345,376.2
466,4.345,378.1
469,4.345,379.9
473,4.345,381.9
475,4.345,382.9
482,4.345,385.7
484,4.345,386.5
488,4.345,388.1
490,4.345,388.9
494,4.345,390.8
497,4.345,391.9
501,6.619,398.6
502,6.619,400.1
503,6.619,401.6
504,6.619,403
505,6.619,404.4
508,6.619,408.3
509,6.619,409.6
512,6.619,413.2
516,6.619,418
517,6.619,419.2
518,6.619,420.4
519,6.619,421.5
522,6.619,424.8
523,6.619,425.9
524,6.619,426.9
525,6.619,427.9
526,6.619,428.9
529,6.619,431.6
530,6.619,432.5
531,6.619,433.4
532,6.619,434.2
533,6.619,435
536,6.619,437.1
537,6.619,437.8
538,6.619,438.5
539,6.619,439.2
540,6.619,439.8
543,6.619,441.6
546,6.619,443.4
550,6.619,445.8
552,6.619,446.8
554,6.619,447.8
557,6.619,449.3
560,6.619,450.8
564,6.619,452.8
568,6.619,454.8
572,6.619,456.8
574,6.619,457.8
578,6.619,459.4
581,6.619,460.6
585,6.619,462.2
588,6.619,463.4
592,6.619,465
596,6.619,466.6
599,6.619,467.8
602,6.619,469
606,6.619,470.6
610,6.619,471.8
613,6.619,472.7
616,6.619,473.6
620,6.619,474.8
627,6.619,476.9
630,6.619,477.8
634,6.619,479
637,6.619,479.9
641,6.619,480.7
644,6.619,481.3
648,6.619,482.1
651,6.619,482.7
655,6.619,483.5
659,6.619,484.3
662,6.619,484.9
664,6.619,485.3
669,6.619,486.3
672,6.619,486.9
676,6.619,487.7
679,6.619,488.3
683,6.619,488.7
686,6.619,489
690,6.619,489.4
693,6.619,489.7
697,6.619,490.1
704,6.619,490.8
707,6.619,491.1
711,6.619,491.5
715,6.619,491.9
718,6.619,492.2
721,6.619,492.5
725,6.619,492.9
728,6.619,493.2
732,6.619,493.6
735,6.619,493.9
739,6.619,494.2
742,6.619,494.4
746,6.619,494.7
749,6.619,494.9
757,6.619,495.4
