Time,Settle,Surcharge
0,0,3
9,14.4,3
14,31.4,3
24,33.3,3
27,34.1,3
28,34.5,3
29,34.7,3
31,34.9,3
34,35.3,3
36,35.7,3
38,36,3.5
41,36.3,3.5
43,45.8,3.5
45,50.6,3.5
48,55.3,3.5
50,79.1,3.5
52,91,3.5
55,96.9,3.5
57,99.9,3.5
59,102.9,3.5
66,134,3.5
72,142,3.5
78,150.7,3.5
83,154.2,3.5
84,155.9,3.5
86,157.7,3.5
90,160,3.5
92,161.1,3.5
94,162.3,3.5
97,160.3,3.5
98,159.3,3.5
99,158.8,3.5
101,158.3,3.5
104,158.6,3.5
106,158.6,3.5
108,158.6,3.5
111,158.7,3.5
113,158.9,3.5
115,160.2,3.5
118,160.8,3.5
120,161.5,3.5
121,162.8,3.5
122,164.2,3.5
123,165.5,3.5
125,166.9,3.5
127,169.7,3.5
127,176.6,4
128,180.1,4
129,181.9,4
132,182.7,4
134,183.6,4
135,199.5,5.11
136,207.5,5.11
136,211.5,5.11
139,213.5,5.11
142,215.5,5.11
143,219.8,5.11
146,221.9,5.11
148,224,5.11
150,226.9,5.11
153,228.4,5.11
155,229.8,5.11
157,236.7,5.11
160,243.1,5.11
161,249.1,5.11
162,257.3,5.11
163,261.6,5.11
164,263.7,5.11
167,264.7,5.11
169,265.8,5.11
171,272.2,5.11
174,275.4,5.11
176,278.6,5.11
177,281.8,5.11
178,283.4,5.11
181,284.2,5.11
182,285,5.11
183,288.3,5.11
184,289.9,5.11
185,290.7,5.11
188,291.1,5.11
190,291.3,5.11
192,291.5,5.11
195,294.7,5.11
197,297.9,5.11
202,304.3,5.11
210,309.3,5.11
217,314.4,5.11
224,321,5.11
231,327.8,5.11
246,336.9,5.11
253,341.1,5.11
259,344.7,5.11
267,350.4,5.11
273,354.5,5.11
280,359,5.11
287,363.3,5.11
293,366.9,5.11
301,371.1,5.11
308,374.7,5.11
318,379.7,5.11
325,382.3,5.11
332,384.8,5.11
339,387.3,5.11
346,389.8,5.11
352,392.1,5.11
356,395.3,5.11
364,401.5,5.11
373,408.3,5.11
380,410.8,5.11
386,413.5,5.11
392,416.1,5.11
399,419,5.11
407,420.3,5.11
412,421,5.11
420,422,5.11
428,423,5.11
435,428.8,5.11
440,431.4,5.11
442,432.2,5.11
444,433.7,5.61
447,435,5.61
448,435.3,5.61
457,437.8,5.61
464,439.6,5.61
470,440.8,5.61
476,441.8,5.61
484,443.2,5.61
491,444.3,5.61
498,448.8,5.61
505,453.3,5.61
513,457.3,5.61
520,459.5,5.61
524,460.6,5.61
531,461.9,5.61
538,463.1,5.61
546,464.4,5.61
552,465.4,5.61
560,466.7,5.61
569,468,5.61
576,469.1,5.61
581,469.8,5.61
591,471.3,5.61
598,472.4,5.61
605,473.5,5.61
612,474.5,5.61
619,475.3,5.61
625,476.1,5.61
631,476.9,5.61
640,478,5.61
644,478.4,5.61
651,479,5.61
658,479.6,5.61
664,480.1,5.61
672,480.7,5.61
680,481.2,5.61
689,481.7,5.61
