Time,Settle,Surcharge
0,0,3.52
2,1.2,3.52
5,3.1,3.52
8,5.4,3.52
15,9.6,3.52
21,21.5,4.835
26,28.7,4.835
28,31.4,4.835
34,38.3,4.835
37,41.7,4.835
40,44.6,4.835
43,47.3,4.835
47,51.2,4.835
50,54.1,4.835
54,57.3,4.835
57,59.7,4.835
61,63,4.835
64,64.7,4.835
68,66.9,4.835
70,68.2,4.835
72,69.6,4.835
75,71.5,4.835
76,72.2,4.835
77,72.9,4.835
78,73.5,4.835
79,74.1,4.835
82,75.3,4.835
83,75.7,4.835
84,76.1,4.835
85,76.5,4.835
89,78.4,4.835
90,78.9,4.835
92,79.9,4.835
96,81.8,4.835
98,82.8,4.835
99,83.2,4.835
105,85.8,4.835
106,86.2,4.835
107,86.6,4.835
110,87.8,4.835
112,88.6,4.835
114,89.4,4.835
117,90.6,4.835
119,91.4,4.835
121,92.2,4.835
128,95.2,4.835
131,96.4,4.835
134,97.6,4.835
138,99,4.835
140,99.6,4.835
147,101.4,4.835
149,102,4.835
153,103.2,4.835
155,103.8,4.835
159,105.1,4.835
162,106,4.835
166,110.4,6.05
167,111.3,6.05
168,112.2,6.05
169,113.1,6.05
170,114,6.05
173,116.7,6.05
174,117.5,6.05
177,119.9,6.05
181,123.1,6.05
182,123.9,6.05
183,124.7,6.05
184,125.4,6.05
187,127.5,6.05
188,128.1,6.05
189,128.7,6.05
190,129.2,6.05
191,129.7,6.05
194,131.2,6.05
195,131.7,6.05
196,132.2,6.05
197,132.7,6.05
198,133.1,6.05
201,134.3,6.05
202,134.7,6.05
203,135.1,6.05
204,135.5,6.05
205,135.9,6.05
208,137.1,6.05
211,138.3,6.05
215,139.5,6.05
217,140.1,6.05
219,140.7,6.05
222,141.6,6.05
225,142.5,6.05
229,143.7,6.05
233,144.9,6.05
237,146.1,6.05
239,146.7,6.05
243,147.9,6.05
246,148.8,6.05
250,150,6.05
253,150.9,6.05
257,152.1,6.05
261,153.3,6.05
264,154.2,6.05
267,155.1,6.05
271,155.9,6.05
275,156.7,6.05
278,157.3,6.05
281,157.9,6.05
285,158.7,6.05
292,160.1,6.05
295,160.7,6.05
299,161.5,6.05
302,162.1,6.05
306,162.9,6.05
309,163.5,6.05
313,164.3,6.05
316,164.9,6.05
320,165.7,6.05
324,166.1,6.05
327,166.4,6.05
329,166.6,6.05
334,167.1,6.05
337,167.4,6.05
341,167.8,6.05
344,168.1,6.05
348,168.5,6.05
351,168.8,6.05
355,169.2,6.05
358,169.5,6.05
362,169.9,6.05
369,170.6,6.05
372,170.9,6.05
376,171.3,6.05
380,171.7,6.05
383,172,6.05
386,172.3,6.05
390,172.7,6.05
393,173,6.05
397,173.4,6.05
400,173.7,6.05
404,174,6.05
407,174.2,6.05
411,174.5,6.05
414,174.7,6.05
422,175.2,6.05
