Time,Settle,Surcharge
0,0,1.5
5,6.7,1.5
8,10.2,1.5
14,20.5,1.5
22,28.2,1.5
29,43.2,1.5
35,47.4,1.5
43,57.1,1.5
50,63.5,1.5
57,70.5,1.5
64,77.7,1.5
70,83.5,1.5
78,92.4,1.5
85,97.6,1.5
92,103.5,1.5
99,108.4,1.5
106,113.49,1.5
113,118.4,1.5
116,118.4,2.871
120,122.8,2.871
124,123,2.871
125,125.2,2.871
126,127.4,2.871
127,129.6,2.871
130,132.9,2.871
131,134,2.871
132,135.1,2.871
133,136.2,2.871
144,145.6,2.871
145,146.5,2.871
146,147.4,2.871
147,148.3,2.871
154,153.4,2.871
161,159.2,2.871
168,163.9,2.871
175,169.8,2.871
182,174.9,2.871
189,180.7,2.871
196,185.4,2.871
203,191.2,2.871
210,196.1,3.606
218,201.7,3.606
225,205.9,3.606
232,210.1,3.606
238,213.7,3.606
246,217.9,3.606
253,221.2,3.606
260,225.2,3.606
266,228.4,3.606
281,239.2,3.606
288,243.1,3.606
295,246.6,3.606
302,250.4,3.606
309,254,3.606
316,257.3,3.606
323,260.5,3.606
329,263.3,3.606
337,266.4,3.606
344,269,3.606
350,271.2,3.606
358,274,3.606
361,275.2,3.606
363,276,3.606
371,279.2,3.606
372,279.6,3.606
377,281.1,3.606
378,281.4,3.606
383,282.9,3.606
384,283.2,3.606
385,283.5,3.606
386,283.8,3.606
389,284.7,3.606
390,285,3.606
391,285.4,3.606
392,285.8,3.606
397,287.4,3.606
398,287.7,3.606
399,288,3.606
403,289.2,3.606
404,289.5,3.606
405,289.8,3.606
406,290.1,3.606
407,290.4,3.606
410,291,3.606
411,291.2,3.606
413,291.6,3.606
420,293.1,3.606
421,293.4,3.606
424,294.3,3.606
431,296.4,3.606
435,298.4,4.896
438,302,4.896
441,305.1,4.896
445,309.4,4.896
448,313.7,4.896
455,320.1,4.896
462,325.4,4.896
469,330.9,4.896
473,334.3,4.896
475,335.8,4.896
476,336.5,4.896
477,337.2,4.896
480,338.8,4.896
481,339.3,4.896
483,340.3,4.896
488,343.6,4.896
497,348.6,4.896
502,351.6,4.896
504,352.3,4.896
509,354.8,4.896
512,356.1,4.896
516,358.7,4.896
518,359,4.896
525,362.6,4.896
530,364.6,4.896
532,365.7,4.896
540,368.4,4.896
544,369.4,4.896
547,370.2,4.896
550,371,4.896
553,372.4,4.896
560,374.1,4.896
565,375.2,4.896
568,375.5,4.896
